"";"TRIMESTRE";"TXCHOMAGE";"IDBANK";"AGE"
"375";2019-04-01;18,5;"001688536";"15-24 ans"
"376";2019-01-01;19,1;"001688536";"15-24 ans"
"377";2018-10-01;18,5;"001688536";"15-24 ans"
"378";2018-07-01;20,8;"001688536";"15-24 ans"
"379";2018-04-01;20,1;"001688536";"15-24 ans"
"380";2018-01-01;21;"001688536";"15-24 ans"
"381";2017-10-01;20,4;"001688536";"15-24 ans"
"382";2017-07-01;21,5;"001688536";"15-24 ans"
"383";2017-04-01;22,5;"001688536";"15-24 ans"
"384";2017-01-01;21,8;"001688536";"15-24 ans"
"385";2016-10-01;23,1;"001688536";"15-24 ans"
"386";2016-07-01;24,4;"001688536";"15-24 ans"
"387";2016-04-01;24;"001688536";"15-24 ans"
"388";2016-01-01;24,3;"001688536";"15-24 ans"
"389";2015-10-01;24;"001688536";"15-24 ans"
"390";2015-07-01;24;"001688536";"15-24 ans"
"391";2015-04-01;24;"001688536";"15-24 ans"
"392";2015-01-01;24,1;"001688536";"15-24 ans"
"393";2014-10-01;23,9;"001688536";"15-24 ans"
"394";2014-07-01;23,4;"001688536";"15-24 ans"
"395";2014-04-01;23,2;"001688536";"15-24 ans"
"396";2014-01-01;23,1;"001688536";"15-24 ans"
"397";2013-10-01;23;"001688536";"15-24 ans"
"398";2013-07-01;23,8;"001688536";"15-24 ans"
"399";2013-04-01;24,5;"001688536";"15-24 ans"
"400";2013-01-01;24,9;"001688536";"15-24 ans"
"401";2012-10-01;25,4;"001688536";"15-24 ans"
"402";2012-07-01;24;"001688536";"15-24 ans"
"403";2012-04-01;22,9;"001688536";"15-24 ans"
"404";2012-01-01;22,2;"001688536";"15-24 ans"
"405";2011-10-01;22;"001688536";"15-24 ans"
"406";2011-07-01;21,3;"001688536";"15-24 ans"
"407";2011-04-01;22;"001688536";"15-24 ans"
"408";2011-01-01;22,5;"001688536";"15-24 ans"
"409";2010-10-01;21,6;"001688536";"15-24 ans"
"410";2010-07-01;23,3;"001688536";"15-24 ans"
"411";2010-04-01;22,8;"001688536";"15-24 ans"
"412";2010-01-01;22,5;"001688536";"15-24 ans"
"413";2009-10-01;23,2;"001688536";"15-24 ans"
"414";2009-07-01;23,2;"001688536";"15-24 ans"
"415";2009-04-01;23,3;"001688536";"15-24 ans"
"416";2009-01-01;22,1;"001688536";"15-24 ans"
"417";2008-10-01;19,9;"001688536";"15-24 ans"
"418";2008-07-01;18,5;"001688536";"15-24 ans"
"419";2008-04-01;17,8;"001688536";"15-24 ans"
"420";2008-01-01;17;"001688536";"15-24 ans"
"421";2007-10-01;18;"001688536";"15-24 ans"
